wise_content_id,wiseable_type,wiseable_id,content,attribution_text,medical_society_id,pdf_url
25,Procedure,532,"In the evaluation of simple syncope and a normal neurological examination, dont obtain brain imaging studies (CT or MRI).

In patients with witnessed syncope but with no suggestion of seizure and no report of other neurologic symptoms or signs, the likelihood of a central nervous system (CNS) cause of the event is extremely low and patient outcomes are not improved with brain imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
27,Procedure,560,"In the evaluation of simple syncope and a normal neurological examination, dont obtain brain imaging studies (CT or MRI).

In patients with witnessed syncope but with no suggestion of seizure and no report of other neurologic symptoms or signs, the likelihood of a central nervous system (CNS) cause of the event is extremely low and patient outcomes are not improved with brain imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
29,Procedure,561,"In the evaluation of simple syncope and a normal neurological examination, dont obtain brain imaging studies (CT or MRI).

In patients with witnessed syncope but with no suggestion of seizure and no report of other neurologic symptoms or signs, the likelihood of a central nervous system (CNS) cause of the event is extremely low and patient outcomes are not improved with brain imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
31,Procedure,305,"In patients with low pretest probability of venous thromboembolism (VTE), obtain a high-sensitive D-dimer measurement as the initial diagnostic test; dont obtain imaging studies as the initial diagnostic test.

In patients with low pretest probability of VTE as defined by the Wells prediction rules, a negative high-sensitivity D-dimer measurement effectively excludes VTE and the need for further imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
33,Diagnosis,204,"In patients with low pretest probability of venous thromboembolism (VTE), obtain a high-sensitive D-dimer measurement as the initial diagnostic test; dont obtain imaging studies as the initial diagnostic test.

In patients with low pretest probability of VTE as defined by the Wells prediction rules, a negative high-sensitivity D-dimer measurement effectively excludes VTE and the need for further imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
35,Procedure,308,"In patients with low pretest probability of venous thromboembolism (VTE), obtain a high-sensitive D-dimer measurement as the initial diagnostic test; dont obtain imaging studies as the initial diagnostic test.

In patients with low pretest probability of VTE as defined by the Wells prediction rules, a negative high-sensitivity D-dimer measurement effectively excludes VTE and the need for further imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
37,Procedure,534,"Dont obtain imaging studies in patients with non-specific low back pain.

In patients with back pain that cannot be attributed to a specific disease or spinal abnormality following a history and physical examination (e.g., non-specific low back pain), imaging with plain radiography, computed tomography (CT) scan, or magnetic resonance imaging (MRI) does not improve patient outcomes.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
39,Procedure,213,"Dont perform radionuclide imaging as part of routine follow-up in asymptomatic patients.

Performing stress radionuclide imaging in patients without symptoms on a serial or scheduled pattern (e.g., every one to two years or at a heart procedure anniversary) rarely results in any meaningful change in patient management. This practice may lead to unnecessary invasive procedures and excess radiation exposure without any proven impact on patients outcomes. An exception to this rule would be for patients more than five years after a bypass operation.","The American Society of Nuclear Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. 

",5,
41,Procedure,183,"Dont perform radionuclide imaging as part of routine follow-up in asymptomatic patients.

Performing stress radionuclide imaging in patients without symptoms on a serial or scheduled pattern (e.g., every one to two years or at a heart procedure anniversary) rarely results in any meaningful change in patient management. This practice may lead to unnecessary invasive procedures and excess radiation exposure without any proven impact on patients outcomes. An exception to this rule would be for patients more than five years after a bypass operation.","The American Society of Nuclear Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",5,
43,Procedure,66,"Dont perform stress cardiac imaging or coronary angiography in patients without cardiac symptoms unless high-risk markers are present.

Asymptomatic, low-risk patients account for up to 45 percent of inappropriate stress testing. Testing should be performed only when the following findings are present: diabetes in patients older than 40 years old, peripheral arterial disease, and greater than 2 percent yearly coronary heart disease event rate.","The American Society of Nuclear Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",5,
45,Procedure,194,"Dont perform stenting of non-culprit lesions during percutaneous coronary intervention (PCI) for uncomplicated hemodynamically stable ST-segment elevation myocardial infarction (STEMI).

Stent placement in a noninfarct artery during primary PCI for STEMI in a hemodynamically stable patient may lead to increased mortality and complications. While potentially beneficial in patients with hemodynamic compromise, intervention beyond the culprit lesion during primary PCI has not demonstrated benefit in clinical trials to date.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,
47,Procedure,38,"Dont perform stenting of non-culprit lesions during percutaneous coronary intervention (PCI) for uncomplicated hemodynamically stable ST-segment elevation myocardial infarction (STEMI).

Stent placement in a noninfarct artery during primary PCI for STEMI in a hemodynamically stable patient may lead to increased mortality and complications. While potentially beneficial in patients with hemodynamic compromise, intervention beyond the culprit lesion during primary PCI has not demonstrated benefit in clinical trials to date.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,
49,Procedure,527,"Dont obtain preoperative chest radiography in the absence of a clinical suspicion for intrathoracic pathology.

In the absence of cardiopulmonary symptoms, preoperative chest radiography rarely provides any meaningful changes in management or improved patient outcomes.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. 
",1,
51,Procedure,528,"Dont obtain preoperative chest radiography in the absence of a clinical suspicion for intrathoracic pathology.

In the absence of cardiopulmonary symptoms, preoperative chest radiography rarely provides any meaningful changes in management or improved patient outcomes.
","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,
53,Procedure,87,"Dont perform cardiac imaging for patients who are at low risk.

Chest pain patients at low risk of cardiac death and myocardial infarction (based on history, physical exam, electrocardiograms and cardiac biomarkers) do not merit stress radionuclide myocardial perfusion imaging or stress echocardiography as an initial testing strategy if they have a normal electrocardiogram (without baseline ST-abnormalities, left ventricular hypertrophy, pre-excitation, bundle branch block, intra-ventricular conduction delay, paced rhythm or on digoxin therapy) and are able to exercise.","The American Society of Nuclear Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",5,
55,Diagnosis,1008,"Dont perform annual stress cardiac imaging or advanced non-invasive imaging as part of routine follow-up in asymptomatic patients.

Performing stress cardiac imaging or advanced non-invasive imaging in patients without symptoms on a serial or scheduled pattern (e.g., every one to two years or at a heart procedure anniversary) rarely results in any meaningful change in patient management. This practice may, in fact, lead to unnecessary invasive procedures and excess radiation exposure without any proven impact on patients outcomes. An exception to this rule would be for patients more than five years after a bypass operation.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,https://s3.amazonaws.com/itriage/choosing_wisely/55.pdf
57,Diagnosis,617,"In patients with low pretest probability of venous thromboembolism (VTE), obtain a high-sensitive D-dimer measurement as the initial diagnostic test; dont obtain imaging studies as the initial diagnostic test.

In patients with low pretest probability of VTE as defined by the Wells prediction rules, a negative high-sensitivity D-dimer measurement effectively excludes VTE and the need for further imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
59,Diagnosis,1071,"In the evaluation of simple syncope and a normal neurological examination, dont obtain brain imaging studies (CT or MRI).

In patients with witnessed syncope but with no suggestion of seizure and no report of other neurologic symptoms or signs, the likelihood of a central nervous system (CNS) cause of the event is extremely low and patient outcomes are not improved with brain imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
61,Diagnosis,1070,"In the evaluation of simple syncope and a normal neurological examination, dont obtain brain imaging studies (CT or MRI).

In patients with witnessed syncope but with no suggestion of seizure and no report of other neurologic symptoms or signs, the likelihood of a central nervous system (CNS) cause of the event is extremely low and patient outcomes are not improved with brain imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
63,Diagnosis,811,"In the evaluation of simple syncope and a normal neurological examination, dont obtain brain imaging studies (CT or MRI).

In patients with witnessed syncope but with no suggestion of seizure and no report of other neurologic symptoms or signs, the likelihood of a central nervous system (CNS) cause of the event is extremely low and patient outcomes are not improved with brain imaging studies.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,
65,Diagnosis,1209,"Dont obtain imaging studies in patients with non-specific low back pain.

In patients with back pain that cannot be attributed to a specific disease or spinal abnormality following a history and physical examination (e.g., non-specific low back pain), imaging with plain radiography, computed tomography (CT) scan, or magnetic resonance imaging (MRI) does not improve patient outcomes.","The American College of Physicians and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",1,https://s3.amazonaws.com/itriage/choosing_wisely/65.pdf
67,Diagnosis,1018,"Dont perform echocardiography as routine follow-up for mild, asymptomatic native valve disease in adult patients with no change in signs or symptoms.

Patients with native valve disease usually have years without symptoms before the onset of deterioration. An echocardiogram is not recommended yearly unless there is a change in clinical status.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,https://s3.amazonaws.com/itriage/choosing_wisely/67.pdf
69,Diagnosis,52,"Dont perform echocardiography as routine follow-up for mild, asymptomatic native valve disease in adult patients with no change in signs or symptoms.

Patients with native valve disease usually have years without symptoms before the onset of deterioration. An echocardiogram is not recommended yearly unless there is a change in clinical status.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. 
",3,https://s3.amazonaws.com/itriage/choosing_wisely/69.pdf
71,Diagnosis,1020,"Dont perform echocardiography as routine follow-up for mild, asymptomatic native valve disease in adult patients with no change in signs or symptoms.

Patients with native valve disease usually have years without symptoms before the onset of deterioration. An echocardiogram is not recommended yearly unless there is a change in clinical status.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,https://s3.amazonaws.com/itriage/choosing_wisely/71.pdf
73,Diagnosis,1019,"Dont perform echocardiography as routine follow-up for mild, asymptomatic native valve disease in adult patients with no change in signs or symptoms.

Patients with native valve disease usually have years without symptoms before the onset of deterioration. An echocardiogram is not recommended yearly unless there is a change in clinical status.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,https://s3.amazonaws.com/itriage/choosing_wisely/73.pdf
75,Diagnosis,471,"Dont perform echocardiography as routine follow-up for mild, asymptomatic native valve disease in adult patients with no change in signs or symptoms.

Patients with native valve disease usually have years without symptoms before the onset of deterioration. An echocardiogram is not recommended yearly unless there is a change in clinical status.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. ",3,https://s3.amazonaws.com/itriage/choosing_wisely/75.pdf
77,Diagnosis,492,"Dont perform stenting of non-culprit lesions during percutaneous coronary intervention (PCI) for uncomplicated hemodynamically stable ST-segment elevation myocardial infarction (STEMI).

Stent placement in a noninfarct artery during primary PCI for STEMI in a hemodynamically stable patient may lead to increased mortality and complications. While potentially beneficial in patients with hemodynamic compromise, intervention beyond the culprit lesion during primary PCI has not demonstrated benefit in clinical trials to date.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. 
",3,
79,Diagnosis,789,"Dont perform stenting of non-culprit lesions during percutaneous coronary intervention (PCI) for uncomplicated hemodynamically stable ST-segment elevation myocardial infarction (STEMI).

Stent placement in a noninfarct artery during primary PCI for STEMI in a hemodynamically stable patient may lead to increased mortality and complications. While potentially beneficial in patients with hemodynamic compromise, intervention beyond the culprit lesion during primary PCI has not demonstrated benefit in clinical trials to date.","The American College of Cardiology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions. 
",3,
81,Diagnosis,65,"Dont diagnose or manage asthma without spirometry.

Clinicians often rely solely upon symptoms when diagnosing and managing asthma, but these symptoms may be misleading and be from alternate causes. Therefore spirometry is essential to confirm the diagnosis in those patients who can perform this procedure. Recent guidelines highlight spirometrys value in stratifying disease severity and monitoring control. History and physical exam alone may over- or under-estimate asthma control. Beyond the increased costs of care, repercussions of misdiagnosing asthma include delaying a correct diagnosis and treatment.","The American Academy of Allergy Asthma & Immunology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions.",7,https://s3.amazonaws.com/itriage/choosing_wisely/81.pdf
83,Diagnosis,112,"Dont diagnose or manage asthma without spirometry.

Clinicians often rely solely upon symptoms when diagnosing and managing asthma, but these symptoms may be misleading and be from alternate causes. Therefore spirometry is essential to confirm the diagnosis in those patients who can perform this procedure. Recent guidelines highlight spirometrys value in stratifying disease severity and monitoring control. History and physical exam alone may over- or under-estimate asthma control. Beyond the increased costs of care, repercussions of misdiagnosing asthma include delaying a correct diagnosis and treatment.","The American Academy of Allergy Asthma & Immunology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions.",7,https://s3.amazonaws.com/itriage/choosing_wisely/83.pdf
85,Diagnosis,664,"Dont order sinus computed tomography (CT) or indiscriminately prescribe antibiotics for uncomplicated acute rhinosinusitis.

Viral infections cause the majority of acute rhinosinusitis and only 0.5 percent to 2 percent progress to bacterial infections. Most acute rhinosinusitis resolves without treatment in two weeks. Uncomplicated acute rhinosinusitis is generally diagnosed clinically and does not require a sinus CT scan or other imaging. Antibiotics are not recommended for patients with uncomplicated acute rhinosinusitis who have mild illness and assurance of follow-up. If a decision is made to treat, amoxicillin should be first-line antibiotic treatment for most acute rhinosinusitis.","The American Academy of Allergy Asthma & Immunology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions.",7,https://s3.amazonaws.com/itriage/choosing_wisely/85.pdf
87,Diagnosis,704,"Dont order sinus computed tomography (CT) or indiscriminately prescribe antibiotics for uncomplicated acute rhinosinusitis.

Viral infections cause the majority of acute rhinosinusitis and only 0.5 percent to 2 percent progress to bacterial infections. Most acute rhinosinusitis resolves without treatment in two weeks. Uncomplicated acute rhinosinusitis is generally diagnosed clinically and does not require a sinus CT scan or other imaging. Antibiotics are not recommended for patients with uncomplicated acute rhinosinusitis who have mild illness and assurance of follow-up. If a decision is made to treat, amoxicillin should be first-line antibiotic treatment for most acute rhinosinusitis.","The American Academy of Allergy Asthma & Immunology and the ABIM foundation joined forces to develop and distribute evidence based recommendations on when medical tests and procedures may be appropriate. Content was written to help physicians, patients and other health care stakeholders to think, to practice and partake in shared decision making to avoid unnecessary and at times harmful tests and procedures based on your condition or symptoms. Choosing Wisely recommendations should not be used to establish coverage decisions or exclusions.",7,https://s3.amazonaws.com/itriage/choosing_wisely/87.pdf
