chief_complaint_id,n_body_areas,body_areas_list,n_symptoms,symptoms_list,n_diff_dx,diff_dx_list
107,1.0,Pelvis,1.0,Vaginal bleeding during pregnancy,7.0,"Ectopic pregnancy (tubal pregnancy),Miscarriage,Molar pregnancy (gestational trophoblastic disease, pregnancy-related tumor),Placenta previa (placenta covers cervix),Placental abruption (placenta separation),Uterine rupture (uterine tear during childbirth),Missed abortion"
108,1.0,Pelvis,1.0,Vaginal discharge,20.0,"Bacterial vaginosis (vaginal infection),Candida albicans (yeast infection),Cervicitis (inflammation of the lower uterus),Chlamydia trachomatis infection (STD),Endometritis (inflammation of the uterus),Bacterial vaginosis (BV, garnerella vaginalis),Neisseria gonorrhea infection (sexually transmitted disease),Pelvic inflammatory disease (PID, female reproductive organ infection),Trichomonas vaginalis infection (vaginal infection),Vaginal foreign body,Vesicovaginal fistula (connection between the bladder and vagina),Vaginal yeast (fungal) infection,Cervical cancer (tumor),Genital herpes (HSV type 2 infection),Sexually transmitted disease (STD),Bladder infection (cystitis, UTI, urinary tract infection),Uterine prolapse (uterine vaginal protrusion),Vaginal atrophy (atrophic vaginitis),Vaginitis (vaginal infection inflammation),Fallopian tube cancer"
109,1.0,Pelvis,1.0,Vaginal itching,4.0,"Bacterial vaginosis (vaginal infection),Menopause (end of menstruation and fertility),Pinworms (common intestinal worm),Vaginal yeast (fungal) infection"
11,1.0,Chest,1.0,Pain or soreness of breast,21.0,"Breast abscess (collection of pus in the breast),Breast cancer (tumor),Breast fibroadenoma (benign breast lumps),Cellulitis (skin infection),Contusion (bruise, ecchymosis),Fibrocystic breasts (breast lumpiness),Mastitis (breast infection inflammation),Abrasions (scrapes),Carpal tunnel syndrome (wrist nerve compression),Costochondritis (chest wall inflammation),Ligament sprain (connection between two bones),Lymphangitis (lymph tissue inflammation),Metastatic neoplasm (cancer spread),Ovarian cyst (female organ fluid collection),Pneumonia (lung infection),Shingles (herpes zoster),Sickle cell disease (disease of red blood cells),Bladder infection (cystitis, UTI, urinary tract infection),Lymphoma (lymph node cancer),Hidradenitis suppurativa (chronic collections of pus),Radiation exposure (radiation sickness)"
110,1.0,Pelvis,1.0,Vaginal pain,11.0,"Bacterial vaginosis (vaginal infection),Bartholin abscess or cyst (sac of pus near the vaginal opening),Chlamydia trachomatis infection (STD),Genital herpes (HSV type 2 infection),Lichen planus (chronic skin inflammation),Menopause (end of menstruation and fertility),Sjogren's syndrome (dry eyes and mouth),Trauma,Vaginitis (vaginal infection inflammation),Vaginal yeast (fungal) infection,Human papillomavirus infection (HPV)"
111,2.0,"Head,Ear	Nose",2.0,"Vertigo (Room spinning),Spinning",19.0,"Alcohol (ethanol) abuse,Basilar artery migraine (headache),Benign positional vertigo (sensation of spinning),Cardiac arrhythmia (abnormal heart rate),Concussion,Ear infection, middle ear (otitis media),Low blood pressure (hypotension),Meniere's disease (dizziness and vertigo),Migraine (type of headache),Motion sickness,Ototoxicity (ear toxicity),Ear infection, outer (otitis externa),Vertebral artery dissection (neck artery tear),Vertebral- basilar artery insufficiency (inadequate blood flow to the back of the brain),Vertebral-basilar stroke (stroke in the back of the brain),Vestibular neuronitis (labyrinthitis, vertigo),Astrocytoma (brain tumor),Brain tumor (cancer of the brain),Fibromuscular dysplasia (FMD)"
112,1.0,Eyes,4.0,"Visual problems,Loss of vision (Blindness),Blurry vision,Blindness",53.0,"Acute angle closure glaucoma (increased inner eye pressure),Brain tumor (cancer of the brain),Cerebral contusion (bruise of brain),Cerebral vascular accident (stroke),Conjunctivitis (pink eye),Corneal abrasion (scrape on eye),Corneal foreign body (object in the eye),Diabetes (high blood sugar),Glaucoma (elevated eye pressure),Methyl alcohol intoxication (methanol),Migraine (type of headache),Multiple sclerosis (MS),Optic neuritis (optic nerve inflammation),Orbital cellulitis (soft tissue eye infection),Orbital fracture (broken bone near the eye),Orbital mass (growth near the eye),Pituitary tumor,Quaternary syphilis (late stage syphilis),Increased pressure in the skull (raised intracranial pressure),Temporal arteritis (inflamed scalp artery),Third cranial nerve disorder (disorder of eye movement),Transient ischemic attack (TIA, reversible stroke),Uveitis (iritis, eye inflammation),Carotid artery stenosis (neck artery narrowing),Hydrocephalus (brain fluid build-up),Cerebral aneurysm (brain artery dilation),Pseudotumor cerebri (increased pressure in the skull),Detached retina (retinal detachment),Cataracts (clouding of the eye lens),Head trauma,Vertebral- basilar artery insufficiency (inadequate blood flow to the back of the brain),Amaurosis fugax (momentary vision loss in one eye),Macular degeneration (chronic eye disease),Diabetic retinopathy (diabetic eye disease),Farsightedness (hyperopia/hypermetropia),Graves eye disease (Graves ophthalmopathy),Hemorrhagic stroke (CVA, cerebrovascular accident),Lacunar stroke,Presbyopia (aging vision),Retinitis pigmentosa,Retinoblastoma (pediatric eye cancer),Retrobulbar Neuritis,Scleritis (inflammation of the eye),Takayasu's arteritis (Giant cell arteritis of the young),Strabismus (crossed eyes),Focal seizure (partial seizure),Tay-Sachs disease,Conversion disorder,Night blindness (nyctalopia),Aphakia,Turner syndrome (gonadal dysgenesis),Retinopathy,Corneal ulcer"
113,3.0,"Abdomen,Other,Head",4.0,"Vomiting,Throwing up,Dry heaves,Can't keep food down",57.0,"Carbon monoxide poisoning (odorless, poisonous gas),Diabetic ketoacidosis (DKA, a complication of poorly controlled diabetes),Gastroenteritis (intestinal infection),Labyrinthitis (dizziness and vertigo),Migraine (type of headache),Myocardial infarction (heart attack),Pancreatitis (pancreas inflammation),Cholelithiasis (gallstones),Acidosis (excessive acid in the body),Alcoholism,Anxiety disorder (generalized anxiety disorder, GAD),Appendicitis,Bacterial overgrowth of small intestine,Cholangitis (inflammation of the bile ducts),Cholecystitis (inflammation of the gallbladder),Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation),Drug reaction,Endometriosis (uterine tissue outside the uterus),Esophageal foreign body,Esophagitis (esophageal inflammation),Gastritis (stomach inflammation),Gastroesophageal reflux (GERD, heartburn),Gastrointestinal bleeding (stomach, intestine bleeding),Head injury,Hyperemesis gravidarum (severe vomiting in pregnancy),Influenza (seasonal flu),Kidney stone (nephrolithiasis),Parasite infections,Pharyngitis (throat infection),Polyphagia (overeating),Post concussive syndrome (symptoms after a concussion),Prescription drug abuse,Pyelonephritis (kidney infection),Renal failure, chronic (ongoing kidney failure),Tonsillitis (tonsil infection),Ulcerative colitis (large intestine inflammation),Bladder infection (cystitis, UTI, urinary tract infection),Vertigo (spinning sensation),Viral infections,Food poisoning,Medication reaction,Hepatic encephalopathy (confusion from liver failure),Familial dysautonomia (genetic disorder),Food allergy,Glomerulonephritis (kidney disease),Head injury in children,Parathyroid cancer,Takayasu's arteritis (Giant cell arteritis of the young),Traveler's diarrhea (Montezuma's revenge),Tropical sprue,Wilms' Tumor,Abdominal adhesions (scar tissue),Amyloidosis,Traumatic brain injury,Hydronephrosis,Gallbladder cancer,Drug withdrawal syndrome"
114,3.0,"Legs,Shoulder,Other",1.0,General weakness,18.0,"Botulism (bacterial toxin causing muscle weakness),Guillain Barre syndrome (ascending muscle weakness),Hyperkalemia (elevated potassium level),Hypocalcemia (low blood calcium),Hypoglycemia (low blood sugar),Hypokalemic periodic paralysis (inherited muscle weakness and low potassium),Malabsorption syndrome (abnormal intestinal digestion),Motor neuron disease (progressive nerve disorder),Multiple sclerosis (MS),Myasthenia gravis (autoimmune disease of the nerves, muscles),Peripheral neuropathy (nerve damage),Poliomyelitis (polio),Renal failure, chronic (ongoing kidney failure),Rhabdomyolysis (severe muscle breakdown),West Nile virus infection (mosquito-transmitted illness),Polymyalgia rheumatica (PMR, muscle and joint disorder),Myotonia (impaired muscle relaxation),Muscular dystrophy (inherited muscle disease)"
115,,,1.0,Weakness (Muscle localized),26.0,"Carpal tunnel syndrome (wrist nerve compression),Cerebral vascular accident (stroke),Compartment syndrome (increased pressure inside muscles),Herniated disc (slipped disc, ruptured disc),Peripheral nerve transection (nerve injury),Transient ischemic attack (TIA, reversible stroke),Carotid artery stenosis (neck artery narrowing),Brain arteriovenous malformation (blood vessel abnormality in the brain, AVM),Brachial plexus injury (shoulder nerve injury),Meningioma (brain tumor),Astrocytoma (brain tumor),Cerebral aneurysm (brain artery dilation),Central cord syndrome (traumatic spine injury),Cervical spine stenosis (narrowing of spinal canal),Lumbar spinal stenosis (spinal cord compression),Muscular dystrophy (inherited muscle disease),Amyotrophic lateral sclerosis (ALS, Lou Gehrig's disease),Complex migraine (migraine with neurologic changes),Hemorrhagic stroke (CVA, cerebrovascular accident),Lacunar stroke,Neuroblastoma,Arnold Chiari malformation,Conversion disorder,Decompression sickness (bends, caisson's disease),Fibromuscular dysplasia (FMD),Essential thrombocythemia (excessive blood platelets)"
116,1.0,Other,3.0,"Tired,Fatigue,Lack of energy",49.0,"Anemia (low red blood cell count),Anorexia (eating disorder),Cancer (tumor),Cardiomyopathy (weakened heart),Chronic fatigue syndrome (CFS),Congestive heart failure (CHF),Depression (excessive sadness),Diabetes (high blood sugar),Fever (elevated temperature),Fibromyalgia (chronic pain disorder),Hepatitis (liver inflammation),Hypocalcemia (low blood calcium),Hypokalemia (low blood potassium),Hyponatremia (low blood sodium),Hypothyroidism (low thyroid hormone),Infectious mononucleosis (Epstein Barr virus, ""Mono""),Influenza (seasonal flu),Lupus (systemic lupus erythematosus, SLE),Lyme disease (bacterial infection from ticks),Multiple sclerosis (MS),Overdose,Poisoning,Stress,West Nile virus infection (mosquito-transmitted illness),Renal failure, acute (sudden kidney failure),Renal failure, chronic (ongoing kidney failure),Tuberculosis infection (TB),Lymphoma (lymph node cancer),Malnutrition,Sleep apnea (chronic sleep disruption),Thalassemia (Mediterranean anemia, inherited blood disorder),Ewing's sarcoma (cancer),Extragonadal germ cell tumors,Fallopian tube cancer,Friedreich's Ataxia (genetic disorder),Gallbladder and bile duct cancer,Glomerulonephritis (kidney disease),Hepatitis A,Large cell lung cancer,Malignant Mesothelioma,Squamous cell lung cancer,Amyloidosis,Duodenal cancer (small intestine),Gallbladder cancer,Drug withdrawal syndrome,Scurvy (vitamin C deficiency),Beriberi (thiamine (vitamin B1) deficiency),Pancytopenia,Cardiomegaly (enlarged heart)"
117,,,,,1.0,Cushing disease (excessive pituitary gland hormones)
118,2.0,"Arms,Hands",1.0,Wrist pain,19.0,"Carpal tunnel syndrome (wrist nerve compression),Cellulitis (skin infection),Contusion (bruise, ecchymosis),De Quervain's tenosynovitis (hand tendon inflammation),Fracture (broken bone),Gout (uric acid crystals in the joint causing inflammation),Osteoarthritis (bone inflammation),Overuse syndrome (injury from repetitive activity),Pseudogout (calcium deposit arthritis),Septic arthritis (joint infection),Sprain (stretched, torn ligament),Rheumatoid arthritis (type of chronic joint inflammation),Osteoporosis (extremely thin bone),Scaphoid fracture (broken hand bone),Muscle tear,Bone cancer (bone tumor),Sarcoma (soft tissue cancer),Triangular fibrocartilage complex injury (wrist injury),Wrist sprain"
119,,,,,1.0,Adenoiditis (a type of lymph node inflammation)
12,1.0,Legs,2.0,"Calf pain,Lower leg pain",18.0,"Achilles tendon rupture (heel tendon tear),Baker's cyst (fluid sac behind knee),Compartment syndrome (increased pressure inside muscles),Cellulitis (skin infection),Contusion (bruise, ecchymosis),Deep venous thrombosis (DVT, venous blood clot),Dislocation (joint out of place),Fracture (broken bone),Gout (uric acid crystals in the joint causing inflammation),Peripheral vascular disease (blocked blood vessels),Muscle strain (pulled muscle),Muscle spasm (charley horse),Necrotizing fasciitis (life-threatening infection),Achilles tendonitis (heel tendon inflammation),Bone cancer (bone tumor),Sarcoma (soft tissue cancer),Diabetic neuropathy (nerve damage),Thrombophlebitis (superficial)"
120,3.0,"Neck,Throat,Head",1.0,Throat pain,29.0,"Diphtheria infection (bacterial respiratory infection),Pharyngitis (throat infection),Scarlet fever (post strep inflammation),Streptococcus infection (strep throat bacteria),Tonsillitis (tonsil infection),Upper respiratory tract infection (URI, common cold),Mouth cancer (oropharyngeal cancer),Epiglottitis (severe throat inflammation),Allergic rhinitis (allergic reaction in the nose),Aphthous ulcers (mouth stomatitis),Bronchitis (bronchial tube infection),Burning mouth syndrome,Candida albicans (yeast infection),Dental abscess (tooth infection),Enlarged lymph nodes (lymphadenopathy),Esophagitis (esophageal inflammation),Gastroesophageal reflux (GERD, heartburn),Herpes stomatitis (viral mouth infection),Influenza (seasonal flu),Laryngeal carcinoma (throat cancer),Laryngitis (voice box inflammation),Ludwigs angina (severe infection in the floor of the mouth and neck),Mononucleosis (common viral illness),Thrush (oral candidiasis),Ear infection, middle ear (otitis media),Peritonsillar abscess (collection of pus around tonsils),Sinusitis (sinus infection),Viral infections,Rhinitis (nasal inflammation)"
121,5.0,"Other,Arms,Feet,Hands,Head",3.0,"Tremors,Shaking,Twitching",33.0,"Multiple sclerosis (MS),Parkinson's disease (movement disorder),Hypoglycemia (low blood sugar),Alcohol withdrawal syndrome (mild),Febrile (fever) illness,Essential tremor (abnormal rhythmic shaking),Alcoholism,Anxiety disorder (generalized anxiety disorder, GAD),Concussion,Encephalitis (brain infection),Hypothermia (extreme cold exposure),Head injury,Hypocalcemia (low blood calcium),Meningitis (spinal fluid infection),Panic disorder,Peripheral neuropathy (nerve damage),Prescription drug abuse,Restless legs syndrome (nervous system disorder),Schizophrenia (chronic impaired reality perception),Serotonin syndrome (severe medication reaction),Substance abuse,Temporal lobe epilepsy (non-convulsive seizure),Seizure (abnormal brain electrical activity),Muscle spasm (charley horse),Tourette syndrome (repetitive involuntary movements, vocalizations),Amyotrophic lateral sclerosis (ALS, Lou Gehrig's disease),Medication reaction,Friedreich's Ataxia (genetic disorder),Focal seizure (partial seizure),Generalized seizure disorder (generalized epilepsy),Dystonia,Tic Disorder,Complex partial seizures (psychomotor epilepsy)"
122,1.0,Other,,,7.0,"Seizure (abnormal brain electrical activity),Febrile seizure (convulsion in child with a fever),Hypoglycemia (low blood sugar),Parkinson's disease (movement disorder),Alcohol withdrawal syndrome (mild),Peripheral neuropathy (nerve damage),Essential tremor (abnormal rhythmic shaking)"
123,1.0,Other,1.0,"Weight loss, unexplained",31.0,"Malabsorption syndrome (abnormal intestinal digestion),Lymphoma (lymph node cancer),Cancer (tumor),Bulimia nervosa (binge eating, vomiting),Alcohol (ethanol) abuse,Drug overuse,Anorexia nervosa (eating disorder),Crohn's disease (regional enteritis, Crohn's colitis, intestinal inflammation),Ulcerative colitis (large intestine inflammation),Cirrhosis (liver failure and scarring),Diabetes (high blood sugar),Leukemia (blood cell cancer),Depression (excessive sadness),HIV AIDS (Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome),Endocarditis (heart valve infection),Hemochromatosis (excess iron disorder),Q fever (flu-like bacterial illness),Stomach cancer (gastric cancer),Sarcoidosis (inflammatory disease),Ewing's sarcoma (cancer),Extragonadal germ cell tumors,Friedreich's Ataxia (genetic disorder),Gallbladder and bile duct cancer,Large cell lung cancer,Malignant Mesothelioma,Parathyroid cancer,Polyarteritis Nodosa (PAN),Squamous cell lung cancer,Duodenal cancer (small intestine),Small bowel cancer (small intestine),Gallbladder cancer"
125,1.0,Other,,,17.0,"Alcohol (ethanol) abuse,Anemia (low red blood cell count),Anorexia (eating disorder),Autoimmune disease,Cancer (tumor),Chronic fatigue syndrome (CFS),Chronic pain,Depression (excessive sadness),Drug overuse,Malnutrition,Hypothyroidism (low thyroid hormone),Renal failure, chronic (ongoing kidney failure),Lymphoma (lymph node cancer),Hodgkin's disease (cancer of the lymph system),Polymyalgia rheumatica (PMR, muscle and joint disorder),Panhypopituitarism (pituitary gland malfunction),Thalassemia (Mediterranean anemia, inherited blood disorder)"
126,,,1.0,Tongue swelling,7.0,"ACE inhibitor induced cough (blood pressure medication side effect),Allergic reaction,Anaphylaxis (severe/life threatening allergic reaction),Anaphylactoid reactions (pseudo allergic reaction),Mouth cancer (oropharyngeal cancer),Angioedema (swelling of skin, lips, eyes),Glossitis"
127,1.0,Other,,,15.0,"Aphthous ulcers (mouth stomatitis),Child abuse,Colic (prolonged infant crying episodes),Corneal abrasion (scrape on eye),Dental eruption (appearance of new tooth),Febrile (fever) illness,Inguinal hernia (groin hernia),Intussusception (telescoping intestine),Meningitis (spinal fluid infection),Ear infection, middle ear (otitis media),Pneumonia (lung infection),Strangulation of genitalia (constriction of genital blood supply),Testicular torsion (twisting of testicle),Upper respiratory tract infection (URI, common cold),Bladder infection (cystitis, UTI, urinary tract infection)"
128,1.0,Other,1.0,Inconsolable baby,16.0,"Aphthous ulcers (mouth stomatitis),Appendicitis,Child abuse,Colic (prolonged infant crying episodes),Corneal abrasion (scrape on eye),Fever (elevated temperature),Intussusception (telescoping intestine),Meningitis (spinal fluid infection),Ear infection, middle ear (otitis media),Septic hip (infected hip joint),Sepsis (serious blood infection),Subdural hematoma (bleeding on brain),Testicular torsion (twisting of testicle),Bladder infection (cystitis, UTI, urinary tract infection),Hydrocephalus (brain fluid build-up),Coronary artery anomaly (heart artery malformation)"
129,1.0,Chest,1.0,Wheezing (Noisy breathing),12.0,"Anaphylaxis (severe/life threatening allergic reaction),Asthma,Atypical pneumonia (lung infection),Bronchiolitis (bronchial tube inflammation),Chronic obstructive pulmonary disease (COPD, emphysema),Congestive heart failure (CHF),Respiratory syncytial virus (RSV, pediatric respiratory infection),Inhaled foreign body (in respiratory tract),Bronchitis (bronchial tube infection),Coronary artery anomaly (heart artery malformation),Cystic fibrosis (inherited disease of lungs, digestive system),Emphysema (COPD, lung disease)"
13,2.0,"Chest,Back",2.0,"Chest pressure,Chest tightness, heaviness or pressure",38.0,"Costochondritis (chest wall inflammation),Dissecting aortic aneurysm (tearing and dilation of the aorta),Dressler syndrome (heart sac inflammation following heart attack or heart surgery),Esophagitis (esophageal inflammation),Gastroesophageal reflux (GERD, heartburn),Hiatal hernia (stomach pushes through diaphragm),Mitral valve prolapse (abnormal heart valve),Myocardial infarction (heart attack),Pericarditis (heart sac inflammation),Pneumonia (lung infection),Pneumothorax (collapse of lung),Prinzmetal angina (heart artery spasm),Pulmonary embolism (blood clot in the lungs),Shingles (herpes zoster),Unstable angina (pre heart attack chest pain),Coronary artery disease (CAD, heart disease),Abrasions (scrapes),Alcoholism,Allergic reaction,Anxiety disorder (generalized anxiety disorder, GAD),Arrhythmia (abnormal heart rhythm),Asthma,Bronchitis (bronchial tube infection),Cholelithiasis (gallstones),Congestive heart failure (CHF),Contusion (bruise, ecchymosis),Essential hypertension (high blood pressure),Gastritis (stomach inflammation),Ligament sprain (connection between two bones),Pulmonary fibrosis (lung scarring),Muscle strain (pulled muscle),Stress,Upper respiratory tract infection (URI, common cold),Vasovagal syncope (fainting),Whiplash injury (neck injury),Sarcoidosis (inflammatory disease),Dysthymia (depression, dysthymic disorder),Supraventricular tachycardia (SVT)"
130,2.0,"Neck,Throat",,,13.0,"Peritonsillar abscess (collection of pus around tonsils),Anaphylaxis (severe/life threatening allergic reaction),Laryngitis (voice box inflammation),Smoke inhalation,Mouth cancer (oropharyngeal cancer),Laryngeal carcinoma (throat cancer),Epiglottitis (severe throat inflammation),Inhaled foreign body (in respiratory tract),Croup (upper airway inflammation),Angioedema (swelling of skin, lips, eyes),Retropharyngeal abscess (throat abscess),Diphtheria infection (bacterial respiratory infection),Ludwigs angina (severe infection in the floor of the mouth and neck)"
131,3.0,"Throat,Other,Neck",1.0,Swollen lymph nodes (Large lymph nodes),15.0,"Burkitt lymphoma (lymph node tumor),Lymphoma (lymph node cancer),Mononucleosis (common viral illness),Cervical lymphadenopathy (enlarged neck lymph nodes),Chagas disease (trypanosomiasis),Dengue fever (tropical mosquito borne illness),Kawasaki disease (pediatric blood vessel disease),Schistosomiasis (parasite infection),Syphilis (treponema pallidum),Toxoplasma infection (parasite infection),Hodgkin's disease (cancer of the lymph system),HIV AIDS (Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome),Staphylococcus aureus (type of bacteria),Cat scratch fever (bacterial infection after cat scratch),Yaws"
132,1.0,Other,1.0,Failure to thrive,13.0,"Anemia (low red blood cell count),Dehydration,Depression (excessive sadness),Autism spectrum disorder (ASD),Malabsorption syndrome (abnormal intestinal digestion),Malnutrition,Hypothyroidism (low thyroid hormone),Cancer (tumor),Tuberculosis infection (TB),Anorexia (eating disorder),Diabetes (high blood sugar),Infection,Familial dysautonomia (genetic disorder)"
133,1.0,Other,,,20.0,"Fifth disease (erythema infectiosum, viral illness),Adenovirus infection (virus infection),Atypical pneumonia (lung infection),Dengue fever (tropical mosquito borne illness),Lupus (systemic lupus erythematosus, SLE),Lyme disease (bacterial infection from ticks),Measles (viral disease with typical rash),Mononucleosis (common viral illness),Rickettsial infections (type of bacterial infection),Scarlet fever (post strep inflammation),Serum sickness (abnormal immune system response),Neisseria meningitidis infection (meningococcus, serious bacterial illness),Smallpox (Variola virus infection),Syphilis (treponema pallidum),Toxic shock syndrome (life-threatening bacterial infection complication),Typhoid fever (salmonella typhi infection from contaminated food or water),Hand foot and mouth disease (Coxsackie virus),Septic shock (low blood pressure from serious blood infection),Erysipelas (bacterial skin infection),Rubella (German measles)"
