_id,name,description,common_complications
26,Bone marrow transplantation (replace bone marrow),"A procedure to replace bone marrow. Can be used following treatment for certain cancers in which the bone marrow has been destroyed by anticancer drugs or radiation. It can also be used as a treatment for certain types of anemia's, such as sickle cell and aplastic anemia. Transplantation may be autologous (an individual's own marrow saved before treatment), allogeneic (marrow donated by someone else), or syngeneic (marrow donated by an identical twin).","Bone marrow transplantation is a complex procedure with potentially serious consequences. Complications include: low blood cell counts leading to infection and/or anemia, breathing problems, and damage to the liver or heart."
27,Bone scan (image of bones),"A diagnostic test to create images of bones for evaluation. Radioactive material is injected into a blood vessel and collects in the bones. It is then detected by a scanner. A bone scan detects increased metabolic activity and can be used to diagnose bone infections, fractures or cancer.",Complications are very rare but include an allergic reaction.
28,Botox injections (skin injection of small amount of toxin),"A procedure involving the injection of botulinum toxin into certain muscles to treat some medical disorders, such as severe muscle spasticity and chronic migraine, or for cosmetic purposes.",The most common complications are bruising and unwanted cosmetic results.
29,Brachytherapy (cancer treatment),"A procedure in which radioactive material is implanted in the body to provide localized radiation therapy. It is also called internal radiation, implant radiation, or interstitial radiation therapy. It is most commonly used to treat prostate, breast, cervical, and skin cancer.",Infection and pain are initial possible complications. Long term problems are associated with the damage to the surrounding tissue.
30,Breast augmentation or enlargement (implant),A surgical procedure to increase the size of the breast with an implant placed behind the breast in the soft tissue or muscle layers.,"Surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. An unsatisfactory result is always a possibility with cosmetic or reconstructive surgery. Patients can infrequently have bad reactions to anesthesia."
31,Breast implant removal,"A surgical procedure to remove previously placed breast implants. The three most common reasons for breast implant removal are change of size and shape, implant leakage or rupture, and capsular contracture.","Surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. An unsatisfactory result is always a possibility with cosmetic or reconstructive surgery.  Patients can infrequently have bad reactions to anesthesia."
32,Breast lift (mastopexy),"A surgical procedure to lift the breast by raising the nipple and areola to a higher level, which can be performed with various different incisions depending upon the degree of sagging. Occasionally, a breast implant is used to improve the size, shape, firmness and projection of the breast in conjunction with the breast lift.","Surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. An unsatisfactory result is always a possibility with cosmetic or reconstructive surgery. Patients can infrequently have bad reactions to anesthesia."
33,Breast reduction (reduction mammaplasty),"A surgical procedure involving the removal of excess skin, fat, and glandular tissue of the breast. It also commonly requires a reduction in the size of the areola (nipple), since it is usually stretched out from the constant weight of the breast. The procedure is usually performed to alleviate discomfort, to achieve a breast size in proportion with the patient's body, for cosmetic reasons, or to improve performance in sport activities. ","Surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. An unsatisfactory result is always a possibility with cosmetic or reconstructive surgery. Patients can infrequently have bad reactions to anesthesia."
34,Breast conserving surgery (removal of part of the breast),This procedure is also called breast-sparing surgery and involves removing only the portion of the breast containing cancer and the immediate surrounding breast tissue. Lumpectomy only removes the lump with a minimal border of normal appearing breast tissue. Partial or segmental mastectomy involves removal of a larger amount of breast tissue than lumpectomy. Quadrantectomy removes one fourth of the breast.,"Surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery.  Patients can infrequently have bad reactions to anesthesia. "
35,Bronchoscopy (camera images of lung),"A medical procedure that uses a bronchoscope, a flexible tube with a small light and camera, to examine the airways of the lung. This procedure is used to diagnose problems in the lungs by directly viewing the airways and taking samples or biopsies. It can help diagnose the specific cause of lung symptoms and/or chest x-ray abnormalities. ","Potential complications include allergic reactions to the sedation medications, aspiration of stomach contents, and injury to the mouth, throat, or lungs."
36,Bypass (create new pathway for blood),A surgical procedure usually involving the creation of a new pathway for blood flow. A cardiac bypass creates new blood flow to the heart.,"Surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. The bypassed arteries can be damaged and the organ they supply can be damaged. Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
37,Capsule endoscopy (camera in a swallowed capsule),"A diagnostic procedure involving swallowing a capsule containing a tiny camera. It takes pictures as it glides through the small intestine and is then excreted from the body. It can help diagnose polyps, cancer, or causes of bleeding and anemia. ",Complications are rare.
38,Cardiac catheterization (heart artery pictures),"A diagnostic procedure used to explore the coronary arteries, involving use of a catheter entering the body from an artery in the leg, and passed into the arteries of the heart. It can help diagnose heart disease and coronary artery blockages.","The vessel being examined can be damaged and torn resulting in bleeding or loss of the vessel. A blood clot can develop in the vessel after the procedure. Patients can have allergic reactions to the dye resulting in rash, swelling, shortness of breath and very low blood pressure. The contrast dye can injure the kidneys, especially if the person has underlying kidney disease. The site of insertion can become infected."
39,Cardioversion (convert to normal heart rhythm),"A medical procedure using electrical currents to restore the heart beat to a normal rhythm when a patient has a persistent irregular heart rhythm or a new arrhythmia. Atrial fibrillation, atrial flutter, supra-ventricular tachycardia and ventricular tachycardia are the most common abnormal rhythms to be treated with cardioversion.","Sedation given for the procedure can result in allergic reactions or breathing problems. Residual soreness chest soreness is the most common side effects. Very rarely, the electrical current delivered can cause a very slow or fast heart rate."
40,Carotid endarterectomy (unclog carotid artery),A surgical procedure to unclog the carotid artery in the neck in the hope of preventing strokes.,"Surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. The carotid artery can be damaged resulting in life threatening bleeding or a stroke.  Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
41,Carotid ultrasound exam (neck artery imaging),A diagnostic procedure to examine the arteries in the neck for narrowing or stenosis. Sound waves are used to evaluate the inside of vessel and the blood flow through the artery. The amount of narrowing determines the risk of future strokes.,None unless too much pressure is applied to the carotid arteries during the ultrasound exam.
42,Castration (removal of testicles or ovaries),"A procedure or therapy that removes the functioning of the testicles or ovaries. There are multiple methods including surgical removal, radiation and/or drugs. Drugs suppress the hormone production of the testicles and ovaries and this is called medical castration.","Surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. The loss of hormones from the removal of the testicles or ovaries can cause hot flashes and other symptoms similar to low testosterone in men and menopause in woman. Patients can infrequently have bad reactions to anesthesia."
43,Cataract surgery (remove cataract from eye),A surgical procedure to remove or dissolve the clouded lens of the eye formed as a result of a cataract. In most cases a permanent intraocular lens (IOL) is inserted.,Decrease vision and loss of vision are the most serious complications.
44,Catheterization (insertion of hollow tube),"A procedure involving the insertion of a catheter into the body. Many things can be catheterized for different reasons, including the bladder, the arteries, or the veins.",The complications depend on the area of the body being catheterized. 
45,Cauterization (stops bleeding),"A surgical procedure to destroy tissue with a hot instrument, an electrical current, or a caustic substance. It is commonly used in surgery to stop bleeding.","Pain, infection and local tissue destruction are the main complications."
46,Celioscopy (camera exam of abdominal cavity),"A surgical procedure that uses a small surgical tube with a camera called a laparoscope. The laparoscope is inserted into the abdomen and is used to examine and treat the abdominal and pelvic organs. This procedure can be used to treat many conditions including appendicitis, pelvic inflammatory disease, ectopic pregnancy and ovarian cyst. ","Any surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. Abdominal surgery can result in an intra-abdominal infection, intestinal obstruction, or damage to other organs in the abdomen."
47,Central line placement (place large IV into a vein),"A procedure to place a large bore intravenous catheter into the subclavian, internal jugular, or femoral vein for IV access, blood draw, and medication delivery. The procedure may be done with the help of an ultrasound.","Infection at the insertion site, damage to the blood vessel, and a blood clot in the vessel are the most common complications."
48,Cerebral angiography (brain blood vessel images),A diagnostic procedure to x-ray the blood vessels of the brain using contrast injected into the blood stream. It can be used to diagnose problems of the brain and brainstem such as aneurysm.,"The vessel being examined can be damaged and torn resulting in bleeding or loss of the vessel. A blood clot can develop in the vessel after the procedure rarely resulting in a stroke. Patients can have allergic reactions to the dye resulting in rash, swelling, shortness of breath and shock. The contrast dye can injure the kidneys, especially if the person has underlying kidney disease."
49,Cesarean section (surgical delivery of baby),A surgical procedure that removes the baby from a mother's uterus through an incision in her abdomen. A cesarean section is also called a C-section and is performed when the mother cannot deliver the baby through the vagina or if the baby is in distress.,"Any major surgery can result in infection, pain, and the development of blood clots in the legs or lungs after surgery. A C-section can result in an intra-abdominal infection, intestinal obstruction, or damage to the uterus or other organs in the pelvis."
50,Chemical peel (improve texture of facial skin),"A medical procedure using a chemical solution that removes damaged skin. The procedure is performed to smooth out the texture of the facial skin and is useful for patients with excessive wrinkles or blemishes. The most commonly used chemicals are alpha hydroxy acids, phenol and trichloroacetic acid.  ",Complications range from minor skin irritation to permanent scarring. Rarely more serious allergic reactions to the chemicals can occur.
51,Chemoembolization (treatment for liver cancer),A procedure that involves administering anticancer drugs directly into an artery that supplies blood to a tumor. This is immediately followed by injection of a substance that causes a blockage in the same artery. This permits a higher concentration of drug to be in contact with the tumor for a longer period of time.,The embolization chemical can travel to the wrong area resulting in the destruction of healthy tissue. The most serious risks are infection and massive damage to the liver.
52,Chemotherapy (cancer treatment),The use of drugs to treat cancer. These drugs generally kill tumor cells preferentially over normal cells.,"Hair loss, nausea, vomiting and diarrhea are common. At times a patient's bone marrow is damaged resulting in low red blood cells (anemia), easy bleeding from low platelets (thrombocytopenia), and increased infections from a low white blood cell count (neutropenia)."
53,Chin implant (change shape of chin),A surgical procedure to correct an abnormally shaped chin. A surgical incision is made in the skin or inside the mouth and a silicone implant is placed. ,"Surgery can result in pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). A poor cosmetic result is also a risk.  Patients can infrequently have bad reactions to anesthesia."
54,Cholecystectomy (remove gallbladder),A surgical procedure to remove the gallbladder. The most common reason for removing a gallbladder is gallstones causing symptoms or an infection of the gallbladder. The gallbladder can be removed through a large incision (open) or through a laparoscope (laparoscopically).,"Surgery can result in pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Damage and leaking of a bile duct can result in a fluid collection and abscess (collection of pus). At times a stone can be left behind (retained stone) in one of the bile ducts.  Patients can infrequently have bad reactions to anesthesia."
55,Chorionic villus sampling or CVS (detects birth defects),"A diagnostic procedure used during pregnancy to diagnose birth defects. A small sample of placental cells called the chorionic villi is obtained by inserting a small tube through the pregnant patient's vagina and cervix into the uterus (transcervical approach). The procedure can also be performed by passing the tube through the abdominal wall into the uterus and placenta (transabdominal approach). There is a slight increased risk of losing the baby with the transcervical approach. An ultrasound sound is used to help guide the tube in both techniques. CVS can test for conditions such as Down syndrome, Tay Sachs disease, and cystic fibrosis. It is usually performed during the first trimester of pregnancy.",Miscarriage (loss of the pregnancy) and bleeding.
56,Colectomy (remove large intestine),"A surgical procedure to remove the colon or a portion of the colon. This procedure can be performed through an incision in the abdomen (open colectomy) or by using a laparoscope. A laparoscope is a small lighted surgical tube attached to a camera that is inserted through a small incision in the abdomen. Colectomies are performed for the following medical conditions: cancer, inflammatory bowel disease, diverticulitis, and bowel obstructions.","Surgery can result in pain, infection or blood clots of the legs (deep vein thrombosis) and lungs (pulmonary embolus). Leaking of intestinal contents into the abdomen and damage to other organs in the abdomen can also occur. With time scar tissue can develop causing adhesions and blockages of the bowel (intestinal obstruction). Total colectomy may require a colostomy. Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
57,Colonoscopy (large intestine camera exam),A procedure that uses a small lighted tube with a camera to examine the inside of the colon. It is performed most often to screen for polyps and colon cancer. The tube is inserted through the anus and if abnormalities are seen in the colon they can be biopsied or removed at the same time. This procedure is also used to help diagnose and stage inflammatory bowel disease.,"Abdominal bloating, pain, and mild rectal bleeding can occur. Perforation of the colon with spilling of intestinal contents into the abdomen and infection is the most serious complication. "
58,Colostomy (colon attached to abdominal wall),"A surgical procedure that involves connecting the large intestine (colon) to the outside of the abdomen. This opening of the colon is called a stoma. Colostomies are sometimes necessary in the following medical conditions: cancer, traumatic injuries, infections, and other serious diseases of the large intestine. For an excellent video on how to change a colostomy bag go to: http://www.youtube.com/watch?v=31Q2G2D-EW8&feature=youtube_gdata_player","Surgery can result in pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). A hernia or weakening of tissue around the opening may occur.  Patients can infrequently have bad reactions to the general anesthesia."
59,Colposcopy (examination of cervix),A diagnostic procedure to examine the vagina and cervix using a colposcope which magnifies the lining of the vagina and cervix. It is used to help identify specific areas that may be precancerous or cancerous. Its often done after a woman has an abnormal Pap smear.,Vaginal bleeding. Other complications are rare.
60,Combination chemotherapy (cancer treatment),A treatment using more than one anticancer drug. These drugs generally kill cancer cells preferentially over normal cells.,"The loss of one's hair, nausea, vomiting and diarrhea are common. At times a patient's bone marrow is damaged resulting in low red blood cells (anemia), easy bleeding from low platelets (thrombocytopenia), and increased infections from a low white blood cell count (neutropenia)."
62,Complete hysterectomy (remove uterus),"A surgical procedure to remove the entire uterus, often including the entire cervix. The surgery can be done through the vagina (vaginal hysterectomy) or through the abdomen (abdominal hysterectomy).","Surgery can result in pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Damage to the other organs including the intestine or ureter (tube connecting kidney to bladder).  Patients can infrequently have bad reactions to anesthesia."
63,Computed tomography (CT or CAT scan),A series of x-rays of areas inside the body processed by a computer to provide very detailed pictures. Also called CT or CAT scan.,CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. At times intravenous contrast is given with a CT scan. The contrast used may cause kidney injury. Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure.
65,Cone biopsy (sample of cervix),"A surgical procedure to remove a cone-shaped piece of tissue from the cervix and cervical canal. Cone biopsy, also called conization, may be used to diagnose or treat a cervical condition such as cancer.",Vaginal bleeding is the most common complication. Rarely the bleeding can be severe requiring an immediate hysterectomy. Reactions to the anesthesia and infection can also occur. The cervix can be damaged causing scarring and making future pregnancies difficult.
66,Coronary angiogram (x-ray heart arteries),A procedure to x-ray blood vessels in the heart. Dye is injected into the vessel using a catheter which allows the blood vessels to be visualized. This procedure can identify blockages and other problems interfering with the flow of blood.,"Damage to the blood vessels of the heart or leg, rarely requiring immediate surgery. The contrast used may cause kidney injury. Some patients can be allergic to the contrast causing a reaction from a rash to life threatening swelling or drop in blood pressure."
67,Coronary angioplasty (unclog heart arteries),"A medical procedure used to restore flow through narrowed or blocked arteries that supply blood to the heart muscle. The artery is opened with a balloon, often followed by placement of a tube (stent) to help prevent future blockage.","Damage to the blood vessels of the heart or leg, rarely requiring immediate surgery. The contrast used may cause kidney injury. Some patients can be allergic to the contrast causing a reaction from a rash to life threatening swelling or drop in blood pressure."
68,Coronary artery bypass operation (bypass blocked heart artery),"A surgical procedure to bypass the blockage and restore blood flow in one or more coronary (heart) arteries. For each bypassed artery, a blood vessel, taken from the leg, arm or chest, is grafted into the artery above and beyond the blockage. By restoring blood flow to the heart, it can help prevent heart attacks and improve heart function.","The surgery can result in post-operative pain, infection and/or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Risks also include bad reactions to general anesthesia, heart attack, stroke and death."
69,Craniotomy (hole in the head),"A surgical procedure where an opening is made in the skull for examining and treating brain disorders including benign and cancerous tumors,  aneurysms, and blood collections in between the skull and brain.","Surgery can result in pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Other complications include: stroke, seizures, and brain bleeding. There is a small risk permanent brain damage. Patients can infrequently have bad reactions to the general anesthesia."
70,Cryosurgery (freeze tissue),A surgical procedure using cold temperatures to freeze and destroy abnormal tissues.,"Bleeding, blistering, swelling, pain and infection."
71,Cryotherapy (cold treatment),A procedure that uses cold temperature to treat disease. Another term for cryosurgery.,"Bleeding, blistering, swelling, pain and infection."
72,CT or CAT scan (computed tomography),A series of x-rays of areas inside the body processed by a computer to provide very detailed pictures. Also called computed tomography.,CT scans require radiation. Multiple exposures to radiation increase the risk of cancer later in life. At times intravenous contrast is given with a CT scan. The contrast used may cause kidney injury.Some patients can be allergic to the contrast resulting in a rash to life-threatening swelling and low blood pressure.
73,Curettage (remove tissue),"A surgical procedure to remove tissue with a curette, which is a sharp, spoon-shaped instrument.","Bleeding, swelling, pain, infection and scarring."
74,Cystectomy (remove bladder),"A surgical procedure to remove all or part of the bladder, usually for the treatment of bladder cancer.","Surgery can result in pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Injury to other organs in the pelvis can occur resulting in sexual dysfunction, and intestinal damage.  Patients can infrequently have bad reactions to the general anesthesia."
75,Cystoscopy (camera examination of the bladder),"A procedure to examine the bladder and urethra using a thin, lighted instrument (cystoscope) inserted into the urethra. Reasons for the procedure include unexplained blood in the urine, persistent urinary symptoms, and to rule out bladder cancer.  ","Swelling of the urethra preventing urination requiring a placement of a catheter, urinary tract infection, and very rarely damage to the urethra or bladder, such as bladder perforation."
76,Da Vinci Robotic Surgery (minimally invasive robotic surgery),"A surgical procedure assisted by three robotic arms that perform the surgery with a variety of surgical tools. The robotic arms give surgeons more intricate motion and tool control for complex surgeries. The Da Vinci Endoscopic Instrument Control System is used for a variety of surgeries, including general gallbladder and reflux disease surgery, prostate surgery, hysterectomy and heart surgery.","Surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
77,Defibrillation (start normal heart rhythm using electricity),"A medical procedure using an electronic device to administer an electric shock to the heart, to reestablish a normal heart rhythm.",Pain at the site of the defibrillation.
79,Dermabrasion (refinish skin),A surgical procedure that removes thin layers of skin either mechanically or with a laser. Dermabrasion is performed to smooth out the skin and remove small blemishes and scars.                  ,"Pain, scarring, uneven skin coloration and rarely infection."
80,Dialysis (filter and clean blood),A medical procedure to filter and clean the blood when the kidneys are not functioning.,Infection and bleeding from the dialysis site. Low blood pressure and blood chemistry imbalances.
81,Diathermy (cauterization),"A procedure using heat to destroy abnormal cells or to control bleeding in surgery using a hot instrument, electrical current, or a caustic substance. It is also called cauterization or electrodiathermy.","Pain, infection and excessive local tissue destruction are possible but rarely occur."
82,Digital rectal examination (finger examination of rectum),"An examination in which a doctor inserts a lubricated, gloved finger into the rectum to feel for abnormalities, such as enlarged prostate gland or rectal tumor. The stool specimen can be tested for the presence of blood.",None.
83,"Dilation and curettage (D and C, tissue removal inside uterus)","A surgical procedure to dilate the cervix, allowing access to the uterus to scrape the lining with a spoon-shaped instrument called a curette (curettage). Reasons for the procedure include abnormal uterine bleeding and to rule out endometrial cancer.", Vaginal bleeding and pain. Rarely perforation of the uterus can occur. 
84,Discectomy (remove herniated disk),"A surgical procedure to remove part of a herniated disk in the spine. This can relieve some of the pressure on a nerve causing pain in the neck, back or leg.","Nerve injury. Any surgery can result in pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia. Surgery may not improve the original symptoms, especially if the only symptom was low back pain."
85,Ductal lavage (collect cells from milk ducts in breast),A procedure to collect cells from milk ducts in the breast using a hair-size catheter inserted into the nipple. Salt water is infused into the duct to help remove cells for the detection of breast cancer.,Infection. Perforation of the duct can occur which usually heals on its own.
86,"Echocardiography (ultrasound of the heart, echocardiogram)","A test using ultrasound to study the heart's position, motion of the walls, and valves. This test can be used in the diagnosis of a number of heart conditions including an enlarged heart, valve disorders, weakened heart muscle and blood clots inside the heart. ",None.
87,"Electrocardiogram (EKG or ECG, recording of heart electricity)","A common medical test producing a graphic record of the electrical activity of the heart. This test can help diagnose many heart conditions including abnormal rhythms (arrhythmias), heart attacks, heart failure, and an enlarged heart.",None.
